,location,date,total_cases,new_cases,total_deaths,new_deaths
111957,United States,2020-01-22,1.0,,,
111958,United States,2020-01-23,1.0,0.0,,
111959,United States,2020-01-24,2.0,1.0,,
111960,United States,2020-01-25,2.0,0.0,,
111961,United States,2020-01-26,5.0,3.0,,
111962,United States,2020-01-27,5.0,0.0,,
111963,United States,2020-01-28,5.0,0.0,,
111964,United States,2020-01-29,6.0,1.0,,
111965,United States,2020-01-30,6.0,0.0,,
111966,United States,2020-01-31,8.0,2.0,,
111967,United States,2020-02-01,8.0,0.0,,
111968,United States,2020-02-02,8.0,0.0,,
111969,United States,2020-02-03,11.0,3.0,,
111970,United States,2020-02-04,11.0,0.0,,
111971,United States,2020-02-05,11.0,0.0,,
111972,United States,2020-02-06,12.0,1.0,,
111973,United States,2020-02-07,12.0,0.0,,
111974,United States,2020-02-08,12.0,0.0,,
111975,United States,2020-02-09,12.0,0.0,,
111976,United States,2020-02-10,12.0,0.0,,
111977,United States,2020-02-11,13.0,1.0,,
111978,United States,2020-02-12,13.0,0.0,,
111979,United States,2020-02-13,14.0,1.0,,
111980,United States,2020-02-14,14.0,0.0,,
111981,United States,2020-02-15,14.0,0.0,,
111982,United States,2020-02-16,14.0,0.0,,
111983,United States,2020-02-17,14.0,0.0,,
111984,United States,2020-02-18,14.0,0.0,,
111985,United States,2020-02-19,14.0,0.0,,
111986,United States,2020-02-20,14.0,0.0,,
111987,United States,2020-02-21,16.0,2.0,,
111988,United States,2020-02-22,16.0,0.0,,
111989,United States,2020-02-23,16.0,0.0,,
111990,United States,2020-02-24,16.0,0.0,,
111991,United States,2020-02-25,16.0,0.0,,
111992,United States,2020-02-26,16.0,0.0,,
111993,United States,2020-02-27,17.0,1.0,,
111994,United States,2020-02-28,17.0,0.0,,
111995,United States,2020-02-29,25.0,8.0,1.0,1.0
111996,United States,2020-03-01,32.0,7.0,1.0,0.0
111997,United States,2020-03-02,55.0,23.0,6.0,5.0
111998,United States,2020-03-03,74.0,19.0,7.0,1.0
111999,United States,2020-03-04,107.0,33.0,11.0,4.0
112000,United States,2020-03-05,184.0,77.0,12.0,1.0
112001,United States,2020-03-06,237.0,53.0,14.0,2.0
112002,United States,2020-03-07,403.0,166.0,17.0,3.0
112003,United States,2020-03-08,519.0,116.0,21.0,4.0
112004,United States,2020-03-09,594.0,75.0,22.0,1.0
112005,United States,2020-03-10,782.0,188.0,28.0,6.0
112006,United States,2020-03-11,1147.0,365.0,33.0,5.0
112007,United States,2020-03-12,1586.0,439.0,43.0,10.0
112008,United States,2020-03-13,2219.0,633.0,51.0,8.0
112009,United States,2020-03-14,2978.0,759.0,58.0,7.0
112010,United States,2020-03-15,3212.0,234.0,70.0,12.0
112011,United States,2020-03-16,4679.0,1467.0,97.0,27.0
112012,United States,2020-03-17,6512.0,1833.0,134.0,37.0
112013,United States,2020-03-18,9169.0,2657.0,194.0,60.0
112014,United States,2020-03-19,13663.0,4494.0,266.0,72.0
112015,United States,2020-03-20,20030.0,6367.0,372.0,106.0
112016,United States,2020-03-21,26025.0,5995.0,475.0,103.0
112017,United States,2020-03-22,34943.0,8918.0,603.0,128.0
112018,United States,2020-03-23,46095.0,11152.0,792.0,189.0
112019,United States,2020-03-24,56713.0,10618.0,1033.0,241.0
112020,United States,2020-03-25,68840.0,12127.0,1369.0,336.0
112021,United States,2020-03-26,86660.0,17820.0,1785.0,416.0
112022,United States,2020-03-27,105252.0,18592.0,2304.0,519.0
112023,United States,2020-03-28,127412.0,22160.0,2977.0,673.0
112024,United States,2020-03-29,143546.0,16134.0,3569.0,592.0
112025,United States,2020-03-30,165699.0,22153.0,4280.0,711.0
112026,United States,2020-03-31,192079.0,26380.0,5362.0,1082.0
112027,United States,2020-04-01,224281.0,32202.0,6636.0,1274.0
112028,United States,2020-04-02,256627.0,32346.0,8151.0,1515.0
112029,United States,2020-04-03,288992.0,32365.0,9558.0,1407.0
112030,United States,2020-04-04,321379.0,32387.0,11167.0,1609.0
112031,United States,2020-04-05,350713.0,29334.0,12799.0,1632.0
112032,United States,2020-04-06,382646.0,31933.0,14536.0,1737.0
112033,United States,2020-04-07,413222.0,30576.0,17106.0,2570.0
112034,United States,2020-04-08,444340.0,31118.0,19260.0,2154.0
112035,United States,2020-04-09,480413.0,36073.0,21475.0,2215.0
112036,United States,2020-04-10,514689.0,34276.0,23663.0,2188.0
112037,United States,2020-04-11,543878.0,29189.0,25801.0,2138.0
112038,United States,2020-04-12,570812.0,26934.0,27693.0,1892.0
112039,United States,2020-04-13,597804.0,26992.0,29675.0,1982.0
112040,United States,2020-04-14,626217.0,28413.0,32128.0,2453.0
112041,United States,2020-04-15,652179.0,25962.0,34719.0,2591.0
112042,United States,2020-04-16,682442.0,30263.0,36917.0,2198.0
112043,United States,2020-04-17,715446.0,33004.0,39030.0,2113.0
112044,United States,2020-04-18,743379.0,27933.0,40970.0,1940.0
112045,United States,2020-04-19,769250.0,25871.0,42959.0,1989.0
112046,United States,2020-04-20,799039.0,29789.0,45203.0,2244.0
112047,United States,2020-04-21,825257.0,26218.0,47662.0,2459.0
112048,United States,2020-04-22,854328.0,29071.0,50135.0,2473.0
112049,United States,2020-04-23,887581.0,33253.0,52570.0,2435.0
112050,United States,2020-04-24,919920.0,32339.0,54748.0,2178.0
112051,United States,2020-04-25,950298.0,30378.0,56472.0,1724.0
112052,United States,2020-04-26,976871.0,26573.0,57885.0,1413.0
112053,United States,2020-04-27,1000666.0,23795.0,59380.0,1495.0
112054,United States,2020-04-28,1025354.0,24688.0,61608.0,2228.0
112055,United States,2020-04-29,1051785.0,26431.0,64006.0,2398.0
112056,United States,2020-04-30,1080942.0,29157.0,66187.0,2181.0
112057,United States,2020-05-01,1115844.0,34902.0,68098.0,1911.0
112058,United States,2020-05-02,1143248.0,27404.0,69833.0,1735.0
112059,United States,2020-05-03,1167577.0,24329.0,71032.0,1199.0
112060,United States,2020-05-04,1191815.0,24238.0,72409.0,1377.0
112061,United States,2020-05-05,1216263.0,24448.0,74616.0,2207.0
112062,United States,2020-05-06,1240643.0,24380.0,76937.0,2321.0
112063,United States,2020-05-07,1268263.0,27620.0,78856.0,1919.0
112064,United States,2020-05-08,1295396.0,27133.0,80615.0,1759.0
112065,United States,2020-05-09,1320096.0,24700.0,82084.0,1469.0
112066,United States,2020-05-10,1339109.0,19013.0,83075.0,991.0
112067,United States,2020-05-11,1358248.0,19139.0,84112.0,1037.0
112068,United States,2020-05-12,1381134.0,22886.0,85709.0,1597.0
112069,United States,2020-05-13,1401651.0,20517.0,87432.0,1723.0
112070,United States,2020-05-14,1428387.0,26736.0,89207.0,1775.0
112071,United States,2020-05-15,1453084.0,24697.0,90872.0,1665.0
112072,United States,2020-05-16,1477368.0,24284.0,92073.0,1201.0
112073,United States,2020-05-17,1496008.0,18640.0,92902.0,829.0
112074,United States,2020-05-18,1518221.0,22213.0,94130.0,1228.0
112075,United States,2020-05-19,1539140.0,20919.0,95582.0,1452.0
112076,United States,2020-05-20,1561935.0,22795.0,97081.0,1499.0
112077,United States,2020-05-21,1587722.0,25787.0,98268.0,1187.0
112078,United States,2020-05-22,1611380.0,23658.0,99493.0,1225.0
112079,United States,2020-05-23,1632499.0,21119.0,100573.0,1080.0
112080,United States,2020-05-24,1652805.0,20306.0,101213.0,640.0
112081,United States,2020-05-25,1671293.0,18488.0,101811.0,598.0
112082,United States,2020-05-26,1690277.0,18984.0,102489.0,678.0
112083,United States,2020-05-27,1709753.0,19476.0,103942.0,1453.0
112084,United States,2020-05-28,1731476.0,21723.0,105035.0,1093.0
112085,United States,2020-05-29,1756124.0,24648.0,106161.0,1126.0
112086,United States,2020-05-30,1780337.0,24213.0,107115.0,954.0
112087,United States,2020-05-31,1799673.0,19336.0,107733.0,618.0
112088,United States,2020-06-01,1816677.0,17004.0,108501.0,768.0
112089,United States,2020-06-02,1837946.0,21269.0,109482.0,981.0
112090,United States,2020-06-03,1857726.0,19780.0,110489.0,1007.0
112091,United States,2020-06-04,1879461.0,21735.0,111487.0,998.0
112092,United States,2020-06-05,1904372.0,24911.0,112376.0,889.0
112093,United States,2020-06-06,1925846.0,21474.0,113018.0,642.0
112094,United States,2020-06-07,1944114.0,18268.0,113478.0,460.0
112095,United States,2020-06-08,1960813.0,16699.0,113986.0,508.0
112096,United States,2020-06-09,1978821.0,18008.0,114894.0,908.0
112097,United States,2020-06-10,2000017.0,21196.0,115771.0,877.0
112098,United States,2020-06-11,2022418.0,22401.0,116597.0,826.0
112099,United States,2020-06-12,2047567.0,25149.0,117424.0,827.0
112100,United States,2020-06-13,2072692.0,25125.0,118163.0,739.0
112101,United States,2020-06-14,2092024.0,19332.0,118507.0,344.0
112102,United States,2020-06-15,2110607.0,18583.0,118905.0,398.0
112103,United States,2020-06-16,2134508.0,23901.0,119715.0,810.0
112104,United States,2020-06-17,2161723.0,27215.0,120454.0,739.0
112105,United States,2020-06-18,2190124.0,28401.0,121145.0,691.0
112106,United States,2020-06-19,2221809.0,31685.0,121774.0,629.0
112107,United States,2020-06-20,2254343.0,32534.0,122330.0,556.0
112108,United States,2020-06-21,2280410.0,26067.0,122650.0,320.0
112109,United States,2020-06-22,2311569.0,31159.0,123056.0,406.0
112110,United States,2020-06-23,2348834.0,37265.0,123804.0,748.0
112111,United States,2020-06-24,2385046.0,36212.0,124541.0,737.0
112112,United States,2020-06-25,2425306.0,40260.0,125079.0,538.0
112113,United States,2020-06-26,2471625.0,46319.0,125707.0,628.0
112114,United States,2020-06-27,2513323.0,41698.0,126214.0,507.0
112115,United States,2020-06-28,2555119.0,41796.0,126530.0,316.0
112116,United States,2020-06-29,2594820.0,39701.0,126916.0,386.0
112117,United States,2020-06-30,2643189.0,48369.0,127471.0,555.0
112118,United States,2020-07-01,2694754.0,51565.0,128171.0,700.0
112119,United States,2020-07-02,2751122.0,56368.0,128881.0,710.0
112120,United States,2020-07-03,2803739.0,52617.0,129551.0,670.0
112121,United States,2020-07-04,2852098.0,48359.0,129866.0,315.0
112122,United States,2020-07-05,2902900.0,50802.0,130192.0,326.0
112123,United States,2020-07-06,2945635.0,42735.0,130569.0,377.0
112124,United States,2020-07-07,3004762.0,59127.0,131728.0,1159.0
112125,United States,2020-07-08,3064405.0,59643.0,132550.0,822.0
112126,United States,2020-07-09,3125358.0,60953.0,133569.0,1019.0
112127,United States,2020-07-10,3193159.0,67801.0,134383.0,814.0
112128,United States,2020-07-11,3254418.0,61259.0,135112.0,729.0
112129,United States,2020-07-12,3314446.0,60028.0,135584.0,472.0
112130,United States,2020-07-13,3372310.0,57864.0,136031.0,447.0
112131,United States,2020-07-14,3439200.0,66890.0,136946.0,915.0
112132,United States,2020-07-15,3507136.0,67936.0,137927.0,981.0
